name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift
HPPSC070A_J135303.4+691829,blue,208.2644,69.308025,809.563,,814.936,363.4,144.8,,10.333,9.407,5.87,3.369,12.191,11.221,10.396,0.030451
HPPSC070A_J101420.6-041841,blue,153.58616,-4.311484,164.823,208.732,234.295,126.3,51,,11.183,10.299,7.122,4.686,14.145,13.432,12.651,0.058314
HPPSC070A_J123203.6+200929,blue,188.015388,20.158181,153.759,166.444,210.236,,,,10.918,9.928,6.87,4.305,13.857,13.068,12.145,0.06301
HPPSC070A_J113641.9-600305,blue,174.174575,-60.051457,1135.124,,1309.076,,,,10.488,9.921,6.781,4.184,13.823,12.869,12.214,0.014
HPPSC070A_J183658.2-592408,blue,279.242712,-59.402258,3342.462,,2416.31,911.4,362.8,115.7,8.449,7.419,4.508,2.079,12.014,10.837,9.833,0.020021
HPPSC070A_J232756.7+084644,blue,351.986318,8.7789,3743.445,3875.747,4487.452,1911.4,912.3,388.3,9.272,8.112,4.63,1.895,13.192,12.252,11.059,0.028924
HPPSC070A_J161836.5-592717,blue,244.652385,-59.454782,92.556,,390.906,182,96.5,,10.722,10.035,7.562,5.73,13.604,12.79,12.04,0.034627
HPPSC070A_J115203.4-112223,blue,178.014544,-11.373157,231.452,255.703,271.523,146.6,,,10.995,10.245,7.222,4.593,13.711,13.063,12.233,0.049
HPPSC070A_J200846.8-610559,blue,302.195324,-61.099743,660.313,,,837.1,435.3,194.7,8.693,7.753,5.258,3.275,12.264,11.372,10.435,0.014884
HPPSC070A_J094204.6+234108,blue,145.519537,23.685583,654.238,,557.916,245.5,,,10.964,10.18,6.604,3.863,13.328,12.587,12.06,0.021371
HPPSC070A_J104326.4+110524,blue,160.860243,11.09004,59.642,,,,,,12.597,11.757,8.806,6.23,15.789,15.288,14.424,0.047736
HPPSC070A_J113901.6-374419,blue,174.756883,-37.738475,1776.807,1311.348,,,,,8.38,7.375,4.19,1.545,11.984,11.024,10.014,0.00973
HPPSC070A_J132346.0+610401,blue,200.941759,61.066902,83.09,76.535,80.859,,,,12.327,11.228,7.577,5.011,15.315,14.665,13.898,0.071411
HPPSC070A_J074232.9+494835,blue,115.637109,49.809647,1149.235,,1199.919,544,274.1,130.9,9.183,8.101,5.09,2.642,12.548,11.657,10.68,0.022189
HPPSC070A_J133325.9-340053,blue,203.35829,-34.014774,623.646,,666.266,,,,9.582,8.271,5.204,3.082,13.92,12.941,11.914,0.012412
HPPSC070A_J071403.9+351644,blue,108.516393,35.279023,2427.621,,2186.087,807.9,,,9.499,8.6,5.324,3.024,12.444,11.566,10.878,0.015694
HPPSC070A_J123951.6+345831,blue,189.965179,34.975183,144.291,,380.817,246.8,122.5,,11.451,10.652,7.376,4.882,13.85,12.919,12.46,0.043059
HPPSC070A_J230443.5-084109,blue,346.181458,-8.685707,510.168,,581.33,282,,,9.124,8.253,6.036,3.789,13.14,12.303,11.509,0.04686
HPPSC070A_J205829.8-423633,blue,314.624464,-42.609122,93.353,84.883,,,,,12.928,11.9,8.977,6.601,16.431,15.436,14.406,0.232
HPPSC070A_J190526.0+422739,blue,286.358324,42.46091,154.491,,253.377,157,85.5,,11.577,10.88,7.722,5.068,13.941,13.098,12.409,0.027879
HPPSC070A_J130128.2+275107,blue,195.367523,27.851829,59.022,34.565,59.523,49.5,,,13.131,12.24,9.515,6.98,16.384,15.363,14.379,0.243214
HPPSC070A_J141759.5+250813,blue,214.497926,25.13706,1088.84,,1297.572,562.6,244.9,,9.172,8.366,5.563,3.018,11.777,10.872,10.135,0.017175
HPPSC070A_J115349.2+112830,blue,178.455006,11.474925,20.395,,,,,,12.049,10.925,8.285,6.086,14.876,14.199,13.082,0.176068
HPPSC070A_J024457.6+622807,blue,41.240003,62.468571,551.574,,356.931,173.1,147.2,,8.778,7.628,4.845,2.669,12.788,11.501,10.181,0.044
HPPSC070A_J100420.1+051301,blue,151.083917,5.216867,45.634,37.369,35.686,,,,11.328,10.303,7.816,5.797,15.056,14.191,13.105,0.161076
HPPSC070A_J025223.5-083037,blue,43.097952,-8.510408,338.782,,533.648,,,,10.597,9.659,7.157,4.685,13.286,12.407,11.788,0.016752
HPPSC070A_J173739.0-595627,blue,264.412759,-59.940701,251.412,,,453.7,,,10.018,9.347,6.713,4.522,12.928,11.954,11.546,0.017018
HPPSC070A_J091825.9+161820,blue,139.60816,16.305588,338.317,,311.093,126.4,,,9.35,8.22,5.122,3.039,12.712,11.729,10.701,0.029234
HPPSC070A_J105151.5-005118,blue,162.964628,-0.85509,247.235,231.044,161.381,76,,,11.226,10.109,7.236,4.729,14.691,13.901,12.847,0.3599
HPPSC070A_J150401.1+102617,blue,226.004573,10.438171,452.038,342.801,175.111,,,,10.187,9.162,5.738,3.188,13.036,12.258,11.472,0.036422
HPPSC070A_J113240.2+525702,blue,173.167848,52.950453,380.754,,203.41,,,,10.32,9.461,6.37,4.012,12.871,12.245,11.459,0.026415
HPPSC070A_J030349.2-010614,blue,45.955385,-1.103819,679.017,,463.608,,,,9.695,8.388,5.413,3.008,12.853,12.189,11.126,0.013596
HPPSC070A_J120309.5+443153,blue,180.789958,44.531285,3051.507,3474.1,3021.66,,,,8.871,7.966,4.576,2.162,11.645,10.81,10.018,0.002336
HPPSC070A_J173501.4+570308,blue,263.755957,57.052269,204.746,147.387,84.521,28.8,,,13.041,11.774,7.723,4.619,16.241,16.248,14.756,0.047235
HPPSC070A_J143452.4+483943,blue,218.718341,48.661973,97.954,,155.224,77.9,,,11.906,11.352,8.039,5.563,13.678,13.012,12.457,0.036222
HPPSC070A_J104931.0+225752,blue,162.37919,22.964422,117.422,,137.043,52.9,,,10.985,10.036,6.821,4.335,13.873,13.136,12.735,0.032756
HPPSC070A_J163831.0-205525,blue,249.629191,-20.923577,772.366,,668.725,256.4,,,9.975,8.914,5.559,3.041,13.601,12.669,11.757,0.026372
HPPSC070A_J144009.5+491107,blue,220.039919,49.185148,126.999,173.693,172.329,99.6,,,12.974,11.758,8.67,6.262,15.751,15.186,14.117,0.146825
HPPSC070A_J083454.7+553423,blue,128.727933,55.573012,36.73,41.422,,,,,13.717,13.428,10.519,6.79,16.366,15.263,14.18,0.242
HPPSC070A_J001030.8+105829,blue,2.628542,10.974672,209.746,233.754,235.428,190.4,165.1,149.6,10.343,9.421,6.891,4.435,13.87,13.031,11.787,0.089338
HPPSC070A_J051611.3-000859,blue,79.047406,-0.149806,627.833,,1012,489.1,,,8.627,7.74,5.369,3.483,12.048,11.207,10.221,0.032713
HPPSC070A_J174317.4+625022,blue,265.822539,62.839443,110.323,,323.279,,,,11.878,11.157,8.295,5.864,14.6,13.697,12.856,0.032999
HPPSC070A_J213227.8+100821,blue,323.116148,10.139123,470.77,453.064,367.152,177.2,91.3,,9.542,8.523,5.777,3.499,12.837,11.748,10.669,0.062977
HPPSC070A_J182419.3-562209,blue,276.08067,-56.369061,486.039,,,,,,10.55,9.646,6.537,3.914,13.343,12.632,12.026,0.016905
HPPSC070A_J121044.2+382011,blue,182.684399,38.336356,198.994,,,,,,9.964,9.195,6.751,4.536,13.028,12.2,11.495,0.022792
HPPSC070A_J003621.0+453954,blue,9.087482,45.664879,155.985,,181.677,113.2,,,10.572,9.807,7.203,4.938,13.878,12.921,12.088,0.047643
HPPSC070A_J161151.4-603754,blue,242.964496,-60.631757,205.37,,,,,,10.116,9.392,7.003,4.529,13.348,12.443,11.655,0.015637
HPPSC070A_J123536.5-395433,blue,188.902341,-39.909154,3681.118,,2172.839,833.1,,241.2,8.647,7.567,4.405,1.891,12.114,11.307,10.384,0.011801
HPPSC070A_J124125.7-575003,blue,190.357307,-57.834285,554.031,,879.874,327.6,112,,10.345,9.496,6.494,3.955,13.561,12.586,11.766,0.02443
HPPSC070A_J142906.4+011706,blue,217.277006,1.285085,301.399,349.72,317.539,167.9,67.2,,10.074,9.132,6.31,4.024,13.039,12.151,11.117,0.08657
HPPSC070A_J095155.0-064924,blue,147.979358,-6.823197,378.448,,,534.4,310.6,166.1,10.591,10.224,7.309,4.813,13.079,12.459,11.953,0.014523
HPPSC070A_J151933.8+653558,blue,229.890904,65.599354,337.954,,745.991,342.6,138.2,,10.905,10.056,6.959,4.527,13.481,12.668,12.263,0.044
