name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift
HPPSC070A_J225506.8+005840,blue,343.77845,0.977792,26.275,51.094,60.167,,,,12.128,12.145,10.283,8.372,13.922,13.356,12.908,0.05324
HPPSC070A_J144223.8-171512,blue,220.599348,-17.253225,8120.395,9533.194,8614.033,3368,1389.8,527.6,9.356,9.026,5.352,2.736,12.423,11.665,11.125,0.009353
HPPSC070A_J022224.4+422138,blue,35.601838,42.360673,22.698,47.22,101.412,,,,14.399,13.07,10.235,7.707,,,,1.181
HPPSC070A_J033236.5-274544,blue,53.152324,-27.762088,3.346,7.232,10.887,,,,17.462,17.101,12.452,9.347,,,,0.426
HPPSC070A_J162228.4+334529,blue,245.618543,33.758182,76.097,164.037,187.918,,,,,,,,16.372,15.569,14.926,0.080507
HPPSC070A_J233037.5+712247,blue,352.65627,71.379826,325.577,,633.989,,,,11.494,11.132,7.977,5.658,13.733,12.78,12.373,0.036979
HPPSC070A_J162011.3+172426,blue,245.047131,17.407094,34.058,32.321,,,,,9.758,9.659,7.329,5.442,14.346,13.541,12.419,0.112438
HPPSC070A_J141907.9+062753,blue,214.783049,6.464812,234.742,,398.674,203.6,79.4,,12.932,12.741,8.726,6.928,14.977,14.415,14.041,0.053292
HPPSC070A_J111119.2+284052,blue,167.830281,28.681189,65.422,166.013,298.63,,,,12.012,12.014,9.606,8.009,13.847,13.098,12.804,0.02944
HPPSC070A_J002027.5+005000,blue,5.114597,0.833423,33.138,42.622,,,,,10.961,11.071,10.178,8.173,13.112,12.364,11.719,0.018436
HPPSC070A_J083803.9+445901,blue,129.516385,44.9836,22.778,21.461,,,,,16.446,15.93,12.018,8.691,,,,0.143219
HPPSC070A_J083216.0+343154,blue,128.066735,34.531622,47.843,,191.694,112,,,14.06,13.798,10.284,8.012,16.132,15.342,14.949,0.149074
HPPSC070A_J033222.7-274426,blue,53.094781,-27.740543,4.178,7.989,18.732,22.1,,,16.244,16.213,13.105,9.356,,,,0.738
HPPSC070A_J095513.0+690144,blue,148.804263,69.028916,25.064,,,,,,14.857,16.8,12.72,9.215,,,,0.230729
