name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift1,redshift2
HPPSC070A_J021040.1+630458,blue,32.667176,63.082793,2747.148,,3980.528,1670.2,716.6,,10.759,10.465,6.559,4.288,14.332,12.862,12.102,,
HPPSC070A_J120239.9+030305,blue,180.666369,3.051305,37.726,,,,,,15.567,15.008,11.573,8.285,,,,,
HPPSC070A_J080632.7-361109,blue,121.636612,-36.185894,144.654,,430.819,277.7,,,13.47,13.089,9.74,7.873,16.773,15.905,14.521,,
HPPSC070A_J100336.9+684234,blue,150.90373,68.709369,16.205,30.849,34.842,,,,15.571,15.882,11.729,8.593,,,,,
HPPSC070A_J082038.2-374839,blue,125.159383,-37.810754,356.268,,718.745,373.8,134.3,,13.107,12.609,8.333,6.538,16.221,14.864,13.969,,
HPPSC070A_J095651.3+284832,blue,149.214121,28.808975,7.789,,,,,,16.743,16.641,11.894,8.602,,,,,
HPPSC070A_J224940.4+620203,blue,342.418657,62.034254,447.275,,721.841,,,,12.93,12.52,8.498,6.309,16.318,15.177,14.316,,
HPPSC070A_J160818.9+285121,blue,242.078896,28.855714,34.911,,,21.2,,,,,,,,,,,
HPPSC070A_J201420.1+373250,blue,303.583954,37.547147,341.026,,1229.719,,,,11.322,11.07,8.875,7.145,14.602,13.884,12.324,,
HPPSC070A_J050522.6-222136,blue,76.34452,-22.360061,20.307,,,,,,,,,,,,,,
HPPSC070A_J060719.5+193605,blue,91.831289,19.601415,461.022,,1380.235,,,,12.164,11.973,8.175,6.041,16.087,14.887,13.333,,
HPPSC070A_J094258.1+465631,blue,145.742368,46.941863,6.901,14.335,,,,,,,,,,,,,
HPPSC070A_J130053.2+281806,blue,195.221922,28.30179,22.792,,,,,,,,,,,,,,
HPPSC070A_J061625.7+165434,blue,94.107434,16.909493,434.814,,1442.837,679.8,276.8,,11.893,11.722,8.121,6.165,15.6,14.276,13.648,,
HPPSC070A_J013531.6+331815,blue,23.882,33.304246,42.55,,117.437,74.8,41,,14.466,14.169,10.59,8.809,16.366,15.179,14.735,,
HPPSC070A_J062155.4+102634,blue,95.480831,10.44273,374.553,,433.854,,,,13.051,12.729,8.51,5.758,16.032,14.889,14.203,,
HPPSC070A_J121906.0+143025,blue,184.77523,14.507016,35.668,28.271,,,,,14.842,14.708,11.176,8.216,16.477,15.833,15.001,,
HPPSC070A_J033324.8-360614,blue,53.353513,-36.103777,8.853,,,,,,15.883,16.065,12.938,9.474,,,,,
HPPSC070A_J042016.4+370932,blue,65.068663,37.158829,300.563,,365.571,142.1,,,12.628,12.551,8.875,6.179,15.263,14.264,13.626,,
HPPSC070A_J095255.2+134219,blue,148.230034,13.70519,20.256,,53.327,,,,15.43,14.864,11.144,8.863,17.373,16.314,15.806,,
HPPSC070A_J095621.2+684635,blue,149.088715,68.776304,35.865,,,50,,,14.887,14.405,10.397,9.06,16.743,15.43,15.581,,
HPPSC070A_J080020.8+263650,blue,120.086867,26.61378,873.446,,1069.149,481.6,233.8,104.8,10.133,9.451,6.544,3.948,14.38,12.051,13.426,,
HPPSC070A_J125809.3+263951,blue,194.538798,26.664237,33.849,90.076,132.214,,,,14.224,14.132,10.71,8.94,16.574,14.756,14.589,,
HPPSC070A_J121503.2+374901,blue,183.763548,37.817043,20.461,,75.992,,,,15.253,14.87,11.398,8.882,,,,,
HPPSC070A_J021032.8-505053,blue,32.637059,-50.848193,70.417,72.155,95.359,,,,14.811,14.477,10.95,8.432,16.903,16.081,15.225,,
HPPSC070A_J223642.9+744446,blue,339.178854,74.7461,218.294,388.344,555.031,300,141.1,,13.547,13.29,9.269,7.412,15.585,14.495,13.942,,
HPPSC070A_J020744.1+021303,blue,31.933761,2.217537,28.175,,82.849,,,,15.512,14.81,10.882,8.93,,,,,
HPPSC070A_J140328.6-060029,blue,210.869426,-6.008017,57.547,97.47,,,,,13.621,13.47,10.521,8.719,15.487,14.737,14.307,,
HPPSC070A_J142307.6+011244,blue,215.781994,1.212196,78.3,97.148,95.215,,,,15.526,15.086,11.207,8.339,,,,,
HPPSC070A_J164042.8-233728,blue,250.178389,-23.624474,429.128,,407.424,183.7,69,,13.628,13.326,9.081,6.004,15.879,14.838,14.217,,
HPPSC070A_J164403.5-101401,blue,251.014798,-10.233726,128.801,,250.195,96.1,,,14.018,13.606,9.552,7.008,16.411,15.337,14.595,,
HPPSC070A_J140309.4+541540,blue,210.789492,54.261075,26.424,54.5,,,,,15.396,15.182,11.222,8.681,,,,,
HPPSC070A_J115731.9-795453,blue,179.38311,-79.914654,404.5,,521.706,256.4,85,,13.056,12.659,8.245,6.276,15.313,14.568,13.813,,
HPPSC070A_J113249.1+101650,blue,173.204695,10.280564,40.866,,,,,,13.992,13.859,10.391,8.581,15.76,15.025,14.751,,
