name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift1,redshift2
HPPSC070A_J012638.7-323937,blue,21.661368,-32.660201,74.649000,,125.271000,79.500000,,,14.259000,13.827000,10.366000,9.062000,16.606000,15.657000,14.899000,2.238000,4.950000
HPPSC070A_J161735.5+140305,blue,244.398258,14.051330,1154.242000,1283.150000,1012.374000,,,,,,,,,,,0.069000,0.069000
HPPSC070A_J012738.0+630816,blue,21.908434,63.137852,353.061000,,1291.249000,,,,11.051000,10.945000,8.282000,6.452000,14.285000,13.030000,12.480000,4.475000,4.975000
HPPSC070A_J041413.5+533400,blue,63.556540,53.566532,127.919000,,,136.800000,,,13.293000,13.023000,9.868000,7.546000,16.475000,15.335000,14.675000,1.928000,4.591000
HPPSC070A_J073033.1-221016,blue,112.638275,-22.171060,6038.156000,,8625.058000,4304.600000,2688.100000,,10.682000,10.151000,5.214000,3.155000,14.197000,13.280000,12.669000,1.928000,2.818000
HPPSC070A_J163801.4+135319,blue,249.506077,13.888514,31.215000,37.890000,,36.100000,,,13.930000,13.661000,11.322000,8.851000,16.065000,15.279000,14.702000,4.774000,0.000000
HPPSC070A_J050541.9+401653,blue,76.424911,40.281461,87.069000,,237.864000,120.000000,,,13.800000,13.561000,9.696000,7.841000,16.677000,15.515000,14.916000,2.071000,4.950000
HPPSC070A_J084924.4+445356,blue,132.352057,44.898822,13.475000,,39.007000,,,,15.805000,15.580000,12.083000,8.557000,,,,4.916000,4.975000
HPPSC070A_J164020.7-243629,blue,250.086289,-24.607996,182.872000,422.912000,677.837000,306.100000,125.800000,,12.766000,12.523000,8.605000,7.030000,15.748000,15.072000,14.410000,2.071000,4.363000
HPPSC070A_J153057.6+552027,blue,232.740323,55.340865,37.459000,58.684000,71.680000,49.700000,,,16.250000,15.910000,11.631000,9.197000,,,,3.023000,4.950000
HPPSC070A_J090655.3-000152,blue,136.730647,-0.031107,527.471000,774.063000,1050.431000,451.300000,221.300000,,12.104000,12.001000,7.873000,5.808000,15.073000,14.473000,14.067000,2.071000,3.653000
HPPSC070A_J052136.1-452104,blue,80.400557,-45.351169,29.062000,,113.963000,,,,14.636000,14.545000,10.853000,8.847000,15.930000,15.582000,14.498000,3.422000,4.975000
HPPSC070A_J121541.1+694316,blue,183.921504,69.720977,146.686000,148.030000,133.659000,82.500000,,,13.055000,11.455000,8.940000,6.587000,15.747000,15.499000,14.561000,1.408000,1.453000
HPPSC070A_J014226.1-034756,blue,25.608847,-3.798836,43.699000,93.115000,147.541000,,,,13.931000,13.613000,10.099000,8.687000,16.089000,15.213000,14.738000,4.452000,4.975000
HPPSC070A_J115820.7-013746,blue,179.586474,-1.629504,14.065000,,,,,,16.855000,16.449000,11.562000,8.808000,,,,2.337000,4.975000
HPPSC070A_J020001.3+131640,blue,30.005522,13.277777,26.254000,42.917000,,,,,15.377000,15.149000,11.514000,9.055000,,,,3.023000,4.975000
HPPSC070A_J222820.8+750758,blue,337.086797,75.132802,242.276000,538.452000,579.365000,265.400000,,,12.486000,12.262000,8.480000,6.573000,14.795000,14.043000,13.399000,2.981000,4.476000
HPPSC070A_J030132.2+602556,blue,45.384415,60.432101,4231.867000,7225.340000,10899.717000,,,,10.206000,8.510000,5.986000,3.263000,16.395000,14.945000,13.323000,2.069000,4.975000
HPPSC070A_J065854.3-074335,blue,104.726627,-7.726285,199.587000,,431.031000,,,,12.732000,10.816000,7.944000,4.987000,16.640000,14.971000,14.094000,1.144000,1.453000
HPPSC070A_J133138.1+465058,blue,202.908784,46.849361,43.925000,,,,,,15.676000,15.604000,12.669000,9.060000,,,,2.552000,4.975000
HPPSC070A_J045629.5+304631,blue,74.122970,30.775154,149.554000,,,,,,13.891000,13.569000,9.228000,6.136000,16.095000,15.234000,14.491000,1.928000,4.950000
HPPSC070A_J135303.5+402322,blue,208.264844,40.389577,78.106000,,83.465000,29.200000,,,14.583000,14.242000,10.062000,7.564000,16.698000,15.901000,15.264000,1.928000,2.310000
HPPSC070A_J042353.0+371721,blue,65.971030,37.289121,198.184000,,764.233000,393.000000,,,11.955000,11.757000,8.824000,7.101000,15.356000,14.137000,13.216000,4.452000,4.950000
